14:29:44.512 [MainThread] INFO    thonny: Thonny version: 4.1.7
14:29:44.513 [MainThread] INFO    thonny: cwd: D:\Lucas Ribeiro\Programas\ESP32\MicroPython\thonny-4.1.7-windows-portable
14:29:44.513 [MainThread] INFO    thonny: original argv: []
14:29:44.513 [MainThread] INFO    thonny: sys.executable: D:\Lucas Ribeiro\Programas\ESP32\MicroPython\thonny-4.1.7-windows-portable\pythonw.exe
14:29:44.513 [MainThread] INFO    thonny: sys.argv: ['D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable\\thonny.exe']
14:29:44.513 [MainThread] INFO    thonny: sys.path: ['D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable\\python310.zip', 'D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable\\DLLs', 'D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable\\lib', 'D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable', 'D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable\\lib\\site-packages']
14:29:44.513 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=0, no_user_site=1, no_site=0, ignore_environment=1, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=1, dev_mode=False, utf8_mode=0, warn_default_encoding=0, int_max_str_digits=-1)
14:29:44.574 [MainThread] INFO    thonny.workbench: Starting Workbench
14:29:44.799 [MainThread] INFO    thonny.workbench: Creating runner
14:29:44.801 [MainThread] INFO    thonny.workbench: Start loading plugins
14:29:44.884 [MainThread] INFO    thonny.workbench: Done loading plugins
14:29:44.971 [MainThread] INFO    thonny.workbench: Opening views
14:29:45.467 [MainThread] INFO    thonny.running: Starting the backend: ['D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable\\python.exe', '-s', '-u', '-B', 'D:\\Lucas Ribeiro\\Programas\\ESP32\\MicroPython\\thonny-4.1.7-windows-portable\\lib\\site-packages\\thonny\\plugins\\esp\\esp_back.py', "{'clean': False, 'port': 'COM9', 'dtr': None, 'rts': None, 'submit_mode': None, 'interrupt_on_connect': True, 'write_block_size': None, 'write_block_delay': None, 'proxy_class': 'ESP32Proxy', 'sync_time': True, 'validate_time': False, 'local_rtc': True}"] C:\Users\lucas
14:29:45.620 [MainThread] INFO    thonny.plugins.micropython.mp_front: Listing serial ports
14:29:45.630 [Thread-2 (_listen_stdout)] INFO    thonny.running: Reader got EOF
14:29:45.753 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
14:29:55.092 [MainThread] INFO    thonny.plugins.micropython.mp_front: Listing serial ports
