day,month,year,hour,minute,second,umid,temp,gX,gY,gZ
3,1,25,18,23,41,72,140,0,0,0
3,1,25,18,23,42,65,140,0,0,0
3,1,25,18,23,44,72,140,36,0,4
3,1,25,18,23,45,72,140,38,0,0
3,1,25,18,23,46,72,140,50,55,22
3,1,25,18,23,48,72,140,48,32,7
3,1,25,18,23,49,72,140,30,52,8
3,1,25,18,23,50,72,140,62,34,4
3,1,25,18,23,52,72,140,19,0,14
3,1,25,18,23,53,72,140,50,75,4
3,1,25,18,23,54,72,140,86,131,9
3,1,25,18,23,56,72,140,77,97,3
3,1,25,18,23,57,72,140,70,93,9
3,1,25,18,23,58,71,140,0,0,0
3,1,25,18,24,0,71,140,0,0,0
3,1,25,18,24,1,71,140,0,0,0
3,1,25,18,24,2,71,140,0,0,0
3,1,25,18,24,4,71,140,0,0,0
3,1,25,18,24,5,71,140,0,0,0
3,1,25,18,24,6,71,140,0,0,0
3,1,25,18,24,8,71,140,0,0,0
3,1,25,18,24,9,71,140,0,0,0
3,1,25,18,24,10,71,140,0,0,0
3,1,25,18,24,12,71,140,0,0,0
3,1,25,18,24,13,71,140,0,0,0
3,1,25,18,24,14,71,140,0,0,0
3,1,25,18,24,16,71,140,0,0,0
3,1,25,18,24,17,70,140,0,0,0
3,1,25,18,24,18,70,140,0,0,0
3,1,25,18,24,20,70,140,0,0,0
3,1,25,18,24,21,70,140,0,0,0
3,1,25,18,24,22,70,140,0,0,0
3,1,25,18,24,24,70,140,0,0,0
3,1,25,18,24,25,70,140,0,0,0
3,1,25,18,24,26,70,140,0,0,0
3,1,25,18,24,28,70,140,0,0,0
3,1,25,18,24,29,70,140,0,0,0
3,1,25,18,24,30,70,140,0,0,0
3,1,25,18,24,32,70,140,4,6,0
3,1,25,18,24,33,70,140,0,72,4
3,1,25,18,24,34,70,140,0,41,0
3,1,25,18,24,36,70,140,8,65,8
3,1,25,18,24,37,70,140,16,20,6
3,1,25,18,24,38,70,140,55,17,6
3,1,25,18,24,40,70,140,23,7,11
3,1,25,18,24,41,70,140,33,50,104
3,1,25,18,24,42,70,140,113,177,136
3,1,25,18,24,44,70,140,108,214,181
3,1,25,18,24,45,70,140,144,244,162
3,1,25,18,24,46,70,140,95,255,192
3,1,25,18,24,48,70,140,86,255,255
3,1,25,18,24,49,70,140,109,190,255
3,1,25,18,24,50,70,140,13,40,17
3,1,25,18,24,52,70,140,0,0,0
3,1,25,18,24,53,70,140,0,0,0
3,1,25,18,24,54,70,140,0,0,0
3,1,25,18,24,56,70,140,0,0,0
3,1,25,18,24,57,70,140,0,0,0
3,1,25,18,24,58,70,140,0,0,0
3,1,25,18,25,0,70,140,0,0,0
3,1,25,18,25,1,70,140,0,0,0
3,1,25,18,25,2,70,140,0,0,0
3,1,25,18,25,4,70,140,0,0,0
3,1,25,18,25,5,71,140,0,0,0
3,1,25,18,25,6,71,140,0,0,0
3,1,25,18,25,8,71,140,0,0,0
3,1,25,18,25,9,70,140,0,0,0
3,1,25,18,25,10,70,140,0,0,0
3,1,25,18,25,12,70,140,0,0,0
3,1,25,18,25,13,70,140,0,0,0
3,1,25,18,25,14,70,140,0,0,0
3,1,25,18,25,16,70,140,0,0,0
3,1,25,18,25,17,70,140,0,0,0
3,1,25,18,25,18,70,140,0,0,0
3,1,25,18,25,20,70,140,0,0,0
3,1,25,18,25,21,70,140,0,0,0
3,1,25,18,25,22,70,140,0,0,0
3,1,25,18,25,24,70,140,0,0,0
3,1,25,18,25,25,70,140,0,0,0
3,1,25,18,25,26,70,140,0,0,0
3,1,25,18,25,28,70,140,0,0,0
3,1,25,18,25,29,70,140,0,0,0
3,1,25,18,25,30,69,140,0,0,0
3,1,25,18,25,32,69,140,0,0,0
3,1,25,18,25,33,69,140,0,0,0
3,1,25,18,25,35,69,140,0,0,0
3,1,25,18,25,36,69,140,0,0,0
3,1,25,18,25,37,69,140,0,0,0
3,1,25,18,25,39,69,140,0,0,0
3,1,25,18,25,40,69,140,0,0,0
3,1,25,18,25,41,69,140,0,0,0
3,1,25,18,25,43,69,140,0,0,0
3,1,25,18,25,44,69,140,0,0,0
3,1,25,18,25,45,69,140,0,0,0
3,1,25,18,25,47,69,140,0,0,0
3,1,25,18,25,48,69,140,0,0,0
3,1,25,18,25,49,69,140,0,0,0
3,1,25,18,25,51,69,140,0,0,0
3,1,25,18,25,52,69,140,0,0,0
3,1,25,18,25,53,69,140,0,0,0
3,1,25,18,25,55,69,140,0,0,0
3,1,25,18,25,56,70,140,0,0,0
3,1,25,18,25,57,70,140,0,0,0
3,1,25,18,25,59,70,140,0,0,0
3,1,25,18,26,0,70,140,0,0,0
